Name,Distillery/Brand,Region,Bottler,Country,Rating,Reviews,Alcohol Percentage,Price,Awards,Palate,Finish,Nose
Millstone 9 Year Old (That Boutique-y Whisky Company),Millstone Whisky,Dutch Whisky,That Boutique-y Whisky Company,Dutch Whisky,,,"(50cl, 53.1%)",79.95,0,"Nose: Sticky ginger cake and burnt brown sugar, with floral notes of orange blossom leading to fragrant, herbaceous liquorice.
Palate: Zesty citrus oil and chewy malt are joined by layers of earthy pine, while fennel and cardamom bring a warming touch of spice.
Finish: Hints of menthol, pepper, and more cardamom wrap things up superbly.","Nose: Sticky ginger cake and burnt brown sugar, with floral notes of orange blossom leading to fragrant, herbaceous liquorice.
Palate: Zesty citrus oil and chewy malt are joined by layers of earthy pine, while fennel and cardamom bring a warming touch of spice.
Finish: Hints of menthol, pepper, and more cardamom wrap things up superbly.","Nose: Sticky ginger cake and burnt brown sugar, with floral notes of orange blossom leading to fragrant, herbaceous liquorice.
Palate: Zesty citrus oil and chewy malt are joined by layers of earthy pine, while fennel and cardamom bring a warming touch of spice.
Finish: Hints of menthol, pepper, and more cardamom wrap things up superbly."
Butterscotch & Vanilla & Toast & a Generation 25 Year Old,Butterscotch & Vanilla & Toast & a Generation,Scotch Whisky,Butterscotch & Vanilla & Toast & a Generation,Scotch Whisky,4,(3 Reviews),"(70cl, 40%)",59.95,0,"Silky, mouthcoating layers of butterscotch and cookie dough ice cream, with marmalade and honey-drizzled apricots, joined by trail mix and delicate spice.","Gingerbread, toffee apples, and creamy, oaken vanilla last an age, with syrupy, fruit-studded flapjack and a dusting of pepper in tow.","Cinder toffee and cinnamon buns, with buttery helpings of vanilla shortbread, and dulce de leche. Toasted oak and juicy plums nestle beneath."
The Macallan Aera,The Macallan,Scotch Whisky,The Macallan,Scotch Whisky,3,(6 Reviews),"(70cl, 40%)",299,0,"Nose: Rounded and well balanced with vanilla notes, candied dried fruits, orange peel and sweet citrus.
Palate: Hint of chocolate, dried fruit richness, smooth honey with a sweet citrus burst.
Finish: Medium to long, with lingering vanilla and a gentle warmth.","Nose: Rounded and well balanced with vanilla notes, candied dried fruits, orange peel and sweet citrus.
Palate: Hint of chocolate, dried fruit richness, smooth honey with a sweet citrus burst.
Finish: Medium to long, with lingering vanilla and a gentle warmth.","Nose: Rounded and well balanced with vanilla notes, candied dried fruits, orange peel and sweet citrus.
Palate: Hint of chocolate, dried fruit richness, smooth honey with a sweet citrus burst.
Finish: Medium to long, with lingering vanilla and a gentle warmth."
Bunnahabhain Toiteach a Dhà,Bunnahabhain,Scotch Whisky,Bunnahabhain,Scotch Whisky,4,(30 Reviews),"(70cl, 46.3%)",43.99,4,"Nose: Roasted peanuts, cinnamon and red chilli flakes, blackcurrant and Port.
Palate: Sea salt and kippers, dark chocolate, sultanas, a touch of cantaloupe.
Finish: Barley, dry smoke and pepper.","Nose: Roasted peanuts, cinnamon and red chilli flakes, blackcurrant and Port.
Palate: Sea salt and kippers, dark chocolate, sultanas, a touch of cantaloupe.
Finish: Barley, dry smoke and pepper.","Nose: Roasted peanuts, cinnamon and red chilli flakes, blackcurrant and Port.
Palate: Sea salt and kippers, dark chocolate, sultanas, a touch of cantaloupe.
Finish: Barley, dry smoke and pepper."
Glengoyne The Legacy Series Chapter Three,Glengoyne,Highland Whisky,Glengoyne,Scotch Whisky,,,"(70cl, 48%)",59.90,0,"Sticky toffee and sweet cinnamon buns, plenty of sherried fruit, baked apple, and poached pear, with creamy malt and buttery oak nestling comfortably beneath.","Oily malt, roasted coffee, and a touch of clove are kept in check by lingering silky caramel and mellow woody spice.","Fragrant notes of spiced tea loaf, with juicy honeyed dates and crushed cinnamon, jammy berries, and flaky apple pastries."
Royal Salute 21 Year Old Signature Blend,Royal Salute,Scotch Whisky,Royal Salute,Scotch Whisky,4.5,(10 Reviews),"(70cl, 40%)",136.99,2,"Nose: Powerful aromas of sweet pears and citrus fruits are balanced with the full fragrance of summer flowers. Elegant aromas of sweet vanilla and a dry oakiness are enhanced with subtle notes of sherry and smoke.
Palate: The first sip releases sumptuous sweet orange marmalade flavours infused with fresh pears that burst across the tongue.The second brings a rich medley of spices and a nuttiness of hazelnuts that have an intensity before finally releasing a warmth with hints of masculine smokiness.
Finish: Long, sweet and fruity.","Nose: Powerful aromas of sweet pears and citrus fruits are balanced with the full fragrance of summer flowers. Elegant aromas of sweet vanilla and a dry oakiness are enhanced with subtle notes of sherry and smoke.
Palate: The first sip releases sumptuous sweet orange marmalade flavours infused with fresh pears that burst across the tongue.The second brings a rich medley of spices and a nuttiness of hazelnuts that have an intensity before finally releasing a warmth with hints of masculine smokiness.
Finish: Long, sweet and fruity.","Nose: Powerful aromas of sweet pears and citrus fruits are balanced with the full fragrance of summer flowers. Elegant aromas of sweet vanilla and a dry oakiness are enhanced with subtle notes of sherry and smoke.
Palate: The first sip releases sumptuous sweet orange marmalade flavours infused with fresh pears that burst across the tongue.The second brings a rich medley of spices and a nuttiness of hazelnuts that have an intensity before finally releasing a warmth with hints of masculine smokiness.
Finish: Long, sweet and fruity."
Amrut Fusion,Amrut,Indian Whisky,Amrut,Indian Whisky,4.5,(107 Reviews),"(70cl, 50%)",6057.24,1,"Nose: Rich, barley, fruity. Big on citrus, spices, creamy sweetness. A hint of peat.
Palate: Oaky, rich, gentle peat, coffee, dark chocolate. Fruity.
Finish: Long, spiced, marmalade, sweetness.","Nose: Rich, barley, fruity. Big on citrus, spices, creamy sweetness. A hint of peat.
Palate: Oaky, rich, gentle peat, coffee, dark chocolate. Fruity.
Finish: Long, spiced, marmalade, sweetness.","Nose: Rich, barley, fruity. Big on citrus, spices, creamy sweetness. A hint of peat.
Palate: Oaky, rich, gentle peat, coffee, dark chocolate. Fruity.
Finish: Long, spiced, marmalade, sweetness."
Maker's Mark 46,Maker's Mark,American Whiskey,Maker's Mark,American Whiskey,4.5,(43 Reviews),"(70cl, 47%)",39,0,"Creamy and very soft. Then it opens up, in fact it explodes with spiciness which concentrates on the tip of the tongue. It’s on nutmeg, mulled wine spices, allspice, cinnamon. Also a hint of hot apple juice.",A natural progression of the palate with the sweet spices and it concentrates on the tongue – this may be one of the few times you’ll notice a concentration of sweetness like this from a bourbon. It also becomes grassy after a minute or so.,"Toffee sweetness and the saw dust from freshly cut wood. Has a very toasty aroma, with sweet spices and deep, thick caramel."
Milk & Honey Elements Series - Sherry Cask,Milk & Honey,Israeli Whiskies,Milk & Honey,Israeli Whiskies,4.5,(1 Review),"(70cl, 46%)",52,0,"Nose: Orange peel, stem ginger, and a scoop of plump ripe fruit.
Palate: Softly honeyed, with more sultana and raisin. Chocolatey coffee notes develop later on, with a hint of cherry juice.
Finish: Dark chocolate mousse, cedar, and cinnamon.","Nose: Orange peel, stem ginger, and a scoop of plump ripe fruit.
Palate: Softly honeyed, with more sultana and raisin. Chocolatey coffee notes develop later on, with a hint of cherry juice.
Finish: Dark chocolate mousse, cedar, and cinnamon.","Nose: Orange peel, stem ginger, and a scoop of plump ripe fruit.
Palate: Softly honeyed, with more sultana and raisin. Chocolatey coffee notes develop later on, with a hint of cherry juice.
Finish: Dark chocolate mousse, cedar, and cinnamon."
Arran Bodega Sherry Cask,Arran,Island Whisky,Arran,Scotch Whisky,4,(13 Reviews),"(70cl, 55.8%)",55.99,0,"Loads of juicy sherry influence, with chocolate-dipped cherries, raisins and a touch of caramel.","Oak spice, dark chocolate praline and oak char.","Orange chocolate, with Christmas spices, lots of dried fruit and toasty oak."
Hibiki 21 Year Old,Hibiki,Japanese Whisky,Hibiki,Japanese Whisky,5,(17 Reviews),"(70cl, 43%)",1250,10,"Nose: Sweet, caramalised nuts, some lemon acidity, blackcurrants and pears with vanilla, dark toffee and rich sherry spice.
Palate: Oak, dark cherry and sweet caramel notes, buttery with a wisp of smoke and some wood spice.
Finish: Long, with a hint of smoke.
Overall: A fantastic Japanese whisky.","Nose: Sweet, caramalised nuts, some lemon acidity, blackcurrants and pears with vanilla, dark toffee and rich sherry spice.
Palate: Oak, dark cherry and sweet caramel notes, buttery with a wisp of smoke and some wood spice.
Finish: Long, with a hint of smoke.
Overall: A fantastic Japanese whisky.","Nose: Sweet, caramalised nuts, some lemon acidity, blackcurrants and pears with vanilla, dark toffee and rich sherry spice.
Palate: Oak, dark cherry and sweet caramel notes, buttery with a wisp of smoke and some wood spice.
Finish: Long, with a hint of smoke.
Overall: A fantastic Japanese whisky."
Laphroaig Quarter Cask,Laphroaig,Islay Whisky,Laphroaig,Scotch Whisky,4,(231 Reviews),"(70cl, 48%)",41.99,9,"Big rush of sweetness, in fact it’s an explosion of sweetness, with fiery chilli heat, TCP, sweet cereals and a touch of cola syrup.","Medium-length, but becomes fruity, with custard and cigar smoke.","Oily and buttery nose, with toffee, nuttiness, hickory, bicarbonate of soda, rum and raisin ice cream and zest."
Penderyn Portwood,Penderyn,Welsh Whisky,Penderyn,Welsh Whisky,5,(6 Reviews),"(70cl, 46%)",54.90,2,"Rounded and warming with more sweet, rich fruit and plum wine.",Sweet goji berries and caramel.,"Fruity with chocolatey touches. Sweet, jammy and creamy with some toffee and wood spice."
Oban Little Bay,Oban,Highland Whisky,Oban,Scotch Whisky,4,(26 Reviews),"(70cl, 43%)",56.95,2,"Those fancy chocolates with the flakes of sea salt, pound cake topped with demerara sugar and cinnamon. Citrus returns on the mid-palate.",Spiced with cinnamon and ginger.,"Dried apple chips, floral herbs and chopped mint, candied orange and a touch of milky coffee."
The Glenlivet 18 Year Old,The Glenlivet,Scotch Whisky,The Glenlivet,Scotch Whisky,4,(115 Reviews),"(70cl, 40%)",104.99,11,,,
Johnnie Walker Blue Label,Johnnie Walker,Scotch Whisky,Johnnie Walker,Scotch Whisky,3.5,(159 Reviews),"(70cl, 40%)",179.95,14,"Nose: Fragrant with good body. Notes of oak, crisp spice, dried fruit, pastries. Berry fruits, aniseed, hints of cedar, a touch of spice and citrus.
Palate: Supple and balanced. Good toffee and hints of very wistful smoke. Chocolate, hints of grass and a good hit of malt.
Finish: Floral, oaky, good length, urged on by a plume of very well-kept, highland style smoke. Dried fruit, spice, honey.
Overall: One of the ultimate premium blends, Blue Label is a legend in its own right and will continue to be.","Nose: Fragrant with good body. Notes of oak, crisp spice, dried fruit, pastries. Berry fruits, aniseed, hints of cedar, a touch of spice and citrus.
Palate: Supple and balanced. Good toffee and hints of very wistful smoke. Chocolate, hints of grass and a good hit of malt.
Finish: Floral, oaky, good length, urged on by a plume of very well-kept, highland style smoke. Dried fruit, spice, honey.
Overall: One of the ultimate premium blends, Blue Label is a legend in its own right and will continue to be.","Nose: Fragrant with good body. Notes of oak, crisp spice, dried fruit, pastries. Berry fruits, aniseed, hints of cedar, a touch of spice and citrus.
Palate: Supple and balanced. Good toffee and hints of very wistful smoke. Chocolate, hints of grass and a good hit of malt.
Finish: Floral, oaky, good length, urged on by a plume of very well-kept, highland style smoke. Dried fruit, spice, honey.
Overall: One of the ultimate premium blends, Blue Label is a legend in its own right and will continue to be."
Seaweed & Aeons & Digging & Fire & Cask Strength 10 Year Old (Batch 05),Seaweed & Aeons & Digging & Fire,Scotch Whisky,Seaweed & Aeons & Digging & Fire,Scotch Whisky,4.5,(3 Reviews),"(70cl, 57.2%)",69.95,0,"The palate remains densely packed with earthy peat, mocha, jammy sultana, and a smidge of peppercorn.","Maritime notes of seaweed linger, with wafts of cinnamon sneaking through.","Bold notes of petrichor and coastal air, dotted with dried fruit and candied ginger."
Balvenie 12 Year Old - The Sweet Toast of American Oak,Balvenie,Speyside Whisky,Balvenie,Scotch Whisky,4,(15 Reviews),"(70cl, 43%)",47.90,1,"Candied orange and lemon peel, vanilla toffee and butterscotch, layers of blossom honey, some melted brown sugar and oak spices at the end.",Rich and malty with gentle waves of oak vanilla and subtle spices.,"Lusciously malty with some sweet fudge, followed by citrusy and oak vanilla aromas with layers of spicy oak notes of ginger and cinnamon."
Craigellachie 17 Year Old,Craigellachie,Scotch Whisky,Craigellachie,Scotch Whisky,4.5,(20 Reviews),"(70cl, 46%)",111.99,5,"Nose: Apple crumble, melon and raisins. Honey'd barley, a little hint of smoke and vanilla ice-cream. 
Palate: It opens very sweet with pineapple and custard creams, though the meatiness soon shines through. More smoke on the palate than the nose, with a touch of clove and oak. 
Finish: Waxy and smoky on the finish.","Nose: Apple crumble, melon and raisins. Honey'd barley, a little hint of smoke and vanilla ice-cream. 
Palate: It opens very sweet with pineapple and custard creams, though the meatiness soon shines through. More smoke on the palate than the nose, with a touch of clove and oak. 
Finish: Waxy and smoky on the finish.","Nose: Apple crumble, melon and raisins. Honey'd barley, a little hint of smoke and vanilla ice-cream. 
Palate: It opens very sweet with pineapple and custard creams, though the meatiness soon shines through. More smoke on the palate than the nose, with a touch of clove and oak. 
Finish: Waxy and smoky on the finish."
Aberfeldy 12 Year Old Whisky,Aberfeldy,Highland Whisky,Aberfeldy,Scotch Whisky,4,(200 Reviews),"(70cl, 40%)",39.90,18,"Sweet, malty, with gentle peat and a mellow, silky texture. Vanilla fudge, peaches and cream, and subtle toasted oak follow.","Ginger, malt, nutty nougat, and maybe a little grapefruit zest.","Creamy. Some sherried fruit with a trailing hint of smoke. Honeyed prunes, custard, and espresso beans."
Dailuaine 16 Year Old - Flora and Fauna,Dailuaine,Speyside Whisky,Dailuaine,Scotch Whisky,4.5,(33 Reviews),"(70cl, 43%)",59.95,0,"Medium body, clean. Malt, estery fruit. Sherry. Nutty.","Nutty, almonds, oily, smoke, oak.","Cereals, barley sugars, sherry. Fruitcake, oily, nutty."
Glenmorangie Lasanta 12 Year Old,Glenmorangie,Highland Whisky,Glenmorangie,Scotch Whisky,4,(68 Reviews),"(70cl, 43%)",48.95,6,"A dash of tart raspberry coulis leads into a generous helping of sherried dried fruit, with orange marmalade, toasted nuts and berry jam. Sweeter notes of brown sugar and cereal notes appear.","Silky and long, with oily orange peel, cinnamon and hazelnut praline, rounded off by bitter dark chocolate.","Plum and baking spice supported by milk chocolate raisin, caramel and toasty oak."
Highland Park 15 Year Old - Viking Heart,Highland Park,Island Whisky,Highland Park,Scotch Whisky,4.5,(2 Reviews),"(70cl, 44%)",79.95,1,"Heather honey and smoke, with vanilla, treacle, and lemon in support.",Lasting spicy cinnamon and smoky embers.,"Brown sugar, orange oil, cinnamon, a soft, vegetal waft of peat."
Glen Scotia 15 Year Old,Glen Scotia,Campbeltown Whisky,Glen Scotia,Scotch Whisky,4.5,(39 Reviews),"(70cl, 46%)",67.99,4,"Vanilla and fruit, with ginger and cinnamon bring a subtle dryness to it.",Quite long with continuing spice.,"Lots of rich fruit here - apricot jam, satsuma segments and apple pie. Wafts of sea breeze and baking spices develop after a minute."
Elijah Craig Small Batch Bourbon,Elijah Craig,American Whiskey,Elijah Craig,American Whiskey,3.5,(25 Reviews),"(70cl, 47%)",42.94,1,"Baked apples with a dusting of cinnamon, followed by fresh honey and cookie dough.",Lingering nutmeg and charred oak.,"Honeycomb, fresh cedar, marmalade and some spicy cardamom seed."
Port Charlotte 13 Year Old (That Boutique-y Whisky Company),Bruichladdich,Scotch Whisky,That Boutique-y Whisky Company,Scotch Whisky,,,"(50cl, 52.7%)",133.95,1,"Nose: A lean and mossy nose carries plenty of earthy peat, smoked sea salt and burnt heather. Chestnuts, sweet fruit and a meaty element build as the aroma progresses.
Palate: The palate carries a medical quality, TCP, among a healthy amount of sweetness from vanilla, violet and a hint of cherry. More peat ’n’ meat keeps the character true to form.
Finish: Surprisingly delicate, there’s a little brown sugar among touches of earth and soot.
Overall: A youthful Port Charlotte that provides plenty of pep to balance powerful peat.","Nose: A lean and mossy nose carries plenty of earthy peat, smoked sea salt and burnt heather. Chestnuts, sweet fruit and a meaty element build as the aroma progresses.
Palate: The palate carries a medical quality, TCP, among a healthy amount of sweetness from vanilla, violet and a hint of cherry. More peat ’n’ meat keeps the character true to form.
Finish: Surprisingly delicate, there’s a little brown sugar among touches of earth and soot.
Overall: A youthful Port Charlotte that provides plenty of pep to balance powerful peat.","Nose: A lean and mossy nose carries plenty of earthy peat, smoked sea salt and burnt heather. Chestnuts, sweet fruit and a meaty element build as the aroma progresses.
Palate: The palate carries a medical quality, TCP, among a healthy amount of sweetness from vanilla, violet and a hint of cherry. More peat ’n’ meat keeps the character true to form.
Finish: Surprisingly delicate, there’s a little brown sugar among touches of earth and soot.
Overall: A youthful Port Charlotte that provides plenty of pep to balance powerful peat."
Storyman Blended Scotch Whisky,Annandale,Lowland Whisky,Annandale,Scotch Whisky,,,"(70cl, 46%)",54.95,0,Orchard fruit notes and pear drops with creamy vanilla and a hint of peat.,Rich and creamy with lingering wood smoke.,"Creamy toffee and caramel with vanilla, black pepper spice and a whisper of bonfire."
Talisker 10 Year Old,Talisker,Island Whisky,Talisker,Scotch Whisky,4,(352 Reviews),"(70cl, 45.8%)",44,14,"It's a bonfire of peat crackling with black pepper, with a touch of brine and dry barley. A welcome delivery of orchard fruit provides a delicate and beautiful balance.","In a long finish, bonfire embers toast malt and crystallise a sugary underlay.","A fresh and fragrant nose. Through thick, pungent smoke comes sweet pear and apple peels, with pinches of maritime salt from kippers, seaweed."
Laphroaig Lore Gift Pack with 2x Glasses,Laphroaig,Islay Whisky,Laphroaig,Scotch Whisky,5,(1 Review),"(70cl, 48%)",74.95,0,Richly peaty with a spicy chilli bite.,Short dry finish and a long sweet aftertaste.,Rich and smoky with seaside minerals with a hint of ash and bitter chocolate drops. Vanilla follows with oily unroasted chestnuts and a hint of fudge with a malty sweetness. A drop of water adds a creamy clotted cream note with fruit appearing in the form of unripe citrus in a flan glaze.
The GlenDronach 12 Year Old,GlenDronach,Scotch Whisky,GlenDronach,Scotch Whisky,4,(116 Reviews),"(70cl, 43%)",44.95,5,"Nose: Rich cereals, struck match, raisin, cinnamon, caramelised sugar. Opens with some sweeter PX and lots of delicious raw ginger before becoming creamier with hazelnuts.
Palate: Fruits, peels, buttery. Pain au chocolat, a little marmalade on toast before becoming firmer and nuttier with spiced raisins.
Finish: Smoky toffee and nut brittle.","Nose: Rich cereals, struck match, raisin, cinnamon, caramelised sugar. Opens with some sweeter PX and lots of delicious raw ginger before becoming creamier with hazelnuts.
Palate: Fruits, peels, buttery. Pain au chocolat, a little marmalade on toast before becoming firmer and nuttier with spiced raisins.
Finish: Smoky toffee and nut brittle.","Nose: Rich cereals, struck match, raisin, cinnamon, caramelised sugar. Opens with some sweeter PX and lots of delicious raw ginger before becoming creamier with hazelnuts.
Palate: Fruits, peels, buttery. Pain au chocolat, a little marmalade on toast before becoming firmer and nuttier with spiced raisins.
Finish: Smoky toffee and nut brittle."
Tácnbora Batch 1,Ad Gefrin,English Whisky,Ad Gefrin,English Whisky,5,(10 Reviews),"(70cl, 42.7%)",44.99,0,"Nose: Poached apples, caramel, and vanilla, with hints of white pepper.
Palate: Sweet toasted oak with barley sugars, orange peels, and custard cream biscuits.
Finish: Chocolate digestives, nutty malt, and honey-covered fruit.","Nose: Poached apples, caramel, and vanilla, with hints of white pepper.
Palate: Sweet toasted oak with barley sugars, orange peels, and custard cream biscuits.
Finish: Chocolate digestives, nutty malt, and honey-covered fruit.","Nose: Poached apples, caramel, and vanilla, with hints of white pepper.
Palate: Sweet toasted oak with barley sugars, orange peels, and custard cream biscuits.
Finish: Chocolate digestives, nutty malt, and honey-covered fruit."
Glenglassaugh Revival,Glenglassaugh,Highland Whisky,Glenglassaugh,Scotch Whisky,4,(28 Reviews),"(70cl, 46%)",37.90,4,"Sweet, rounded and creamy. Oranges, plums, cherry and walnuts, chocolate, honey-mead, Sherry and soft, spiced oak.","Medium with warming mulled-wine spices, Sherry and caramel.","Sweet caramel and toffee with notes of nutty Sherry, milk chocolate and honey. Ripe plums, red berries and oranges. Caramelised sugar and earthy, charred oak."
Lagavulin 12 Year Old (Special Release 2021),Lagavulin,Scotch Whisky,Lagavulin,Scotch Whisky,,,"(70cl, 56.5%)",129,0,"Nose: The smoke is quite restrained, maritime with distant bonfires and lime. Just a little hint of bacon Frazzles.
Palate: Black pepper, saline and wood smoke, a little wood tannin and then some sweeter toffee notes.
Finish: Black pepper, smoke and salt with that citrus note coming back in.","Nose: The smoke is quite restrained, maritime with distant bonfires and lime. Just a little hint of bacon Frazzles.
Palate: Black pepper, saline and wood smoke, a little wood tannin and then some sweeter toffee notes.
Finish: Black pepper, smoke and salt with that citrus note coming back in.","Nose: The smoke is quite restrained, maritime with distant bonfires and lime. Just a little hint of bacon Frazzles.
Palate: Black pepper, saline and wood smoke, a little wood tannin and then some sweeter toffee notes.
Finish: Black pepper, smoke and salt with that citrus note coming back in."
Glenfiddich 21 Year Old Gran Reserva,Glenfiddich,Scotch Whisky,Glenfiddich,Scotch Whisky,3.5,(65 Reviews),"(70cl, 40%)",179.95,3,"Nose: Barley sugar, malt and dark brown sugar, with orange peels, marmalade, manuka honey, chocolate and foam bananas.
Palate: Full, fruitcake, spices, buttery vanilla, malty, with oak and candied ginger.
Finish: Long, with notes of mochaccino and marmalade.","Nose: Barley sugar, malt and dark brown sugar, with orange peels, marmalade, manuka honey, chocolate and foam bananas.
Palate: Full, fruitcake, spices, buttery vanilla, malty, with oak and candied ginger.
Finish: Long, with notes of mochaccino and marmalade.","Nose: Barley sugar, malt and dark brown sugar, with orange peels, marmalade, manuka honey, chocolate and foam bananas.
Palate: Full, fruitcake, spices, buttery vanilla, malty, with oak and candied ginger.
Finish: Long, with notes of mochaccino and marmalade."
Blended 40 Year Old Whisky (Defilement),Defilement,English Whisky,Defilement,English Whisky,,,"(70cl, 46.2%)",199.95,0,"Nose: Cooked apples and pears with a drizzle of caramel, followed by a touch of citrus oils bringing some lightness to the rich, complex nose.
Palate: Salted butter spread on crusty bread still warm from the oven, a slow build of fragrant smoke and earthy vanilla, with walnut and pecan introducing a touch of oiliness.
Finish: Decadent coffee and freshly ground spices, along with a hint of blackberry.
Overall: A great blended whisky which shows off its age very well indeed.","Nose: Cooked apples and pears with a drizzle of caramel, followed by a touch of citrus oils bringing some lightness to the rich, complex nose.
Palate: Salted butter spread on crusty bread still warm from the oven, a slow build of fragrant smoke and earthy vanilla, with walnut and pecan introducing a touch of oiliness.
Finish: Decadent coffee and freshly ground spices, along with a hint of blackberry.
Overall: A great blended whisky which shows off its age very well indeed.","Nose: Cooked apples and pears with a drizzle of caramel, followed by a touch of citrus oils bringing some lightness to the rich, complex nose.
Palate: Salted butter spread on crusty bread still warm from the oven, a slow build of fragrant smoke and earthy vanilla, with walnut and pecan introducing a touch of oiliness.
Finish: Decadent coffee and freshly ground spices, along with a hint of blackberry.
Overall: A great blended whisky which shows off its age very well indeed."
Jack Daniel's Tennessee Whiskey Guitar Case Gift Pack,Jack Daniel's,American Whiskey,Jack Daniel's,American Whiskey,5,(13 Reviews),"(70cl, 40%)",46.90,0,"Quite smooth and soft with notes of banana milkshake, a mixed nut note, a touch of caramel with crème anglaise.",Sweet with a little cereal sweetness and toasty oak.,"Light with plenty of sweetness. There are hints of dry spice and oily nuts, a touch of smoke."
Driftless Glen Small Batch Bourbon,Driftless Glen,American Whiskey,Driftless Glen,American Whiskey,,,"(75cl, 48%)",56.94,0,"Oaky vanilla is once again a bedrock from which notes of toffee apple, cherries, chocolate, and cinnamon emerge.",Sweet and with plenty of aromatic spice.,"Charred oak, clove, and dark chocolate sit in a bed of creamy vanilla and caramel."
Benriach The Twelve,Benriach,Speyside Whisky,Benriach,Scotch Whisky,4,(18 Reviews),"(70cl, 46%)",42.95,1,"Honeyed cereals, cooked apple, chocolate peanuts and soft, almost jammy sultanas.","Mocha, honey, dried fruit and mixed peels.","Maple syrup on blueberry pancakes, dark chocolate, quince and orange."
Mortlach 12 Year Old,Mortlach,Speyside Whisky,Mortlach,Scotch Whisky,4.5,(22 Reviews),"(70cl, 43.4%)",54.94,3,"Warming oak and soft raisins, with a bit of olive oil salinity mixed in.","A bit jammy, a bit nutty, some lingering citrus oils cutting through.","Damson, toasted almond, cinder toffee and heavy barley."
Brenne French Single Malt Whisky,Brenne,French Whisky,Brenne,French Whisky,3,(48 Reviews),"(70cl, 40%)",58.95,0,"Brandied cherry and red rope liquorice. More vanilla, a hint of cinnamon spiciness and Nutella.","Chocolate raisins, pineapple and coconut ice.","Vanilla flowers arrive on the nose first, paired with pear drops and dried mango."
Aberlour A'Bunadh Batch 77,Aberlour,Speyside Whisky,Aberlour,Scotch Whisky,,,"(70cl, 60.8%)",88.95,0,"Dense fruit cake, well fed with sherry and packed with sultanas, followed by zesty marmalade and gingerbread.","Dried fruit and spices linger for an age with sweet crumble, dustings of cocoa, and a touch of pepper in tow.","Heaps of stone fruit, candied oranges, and festive spice, with buttery malt and caramel wafers."
Cotswolds Single Malt Whisky,Cotswolds,English Whisky,Cotswolds,English Whisky,4,(75 Reviews),"(70cl, 46%)",39.45,3,"Nose: The first thing you notice are spicy cereal notes, malt and porridge, then comes the fruit - orange peel and lemon. Grassy and floral flavours followed by marzipan.
Palate: Beautiful texture, creamy and round, with sweet citrus fruit and black pepper.
Finish: Good length. There’s vanilla custard and a lift of aromatic freshness that will make you want another sip.","Nose: The first thing you notice are spicy cereal notes, malt and porridge, then comes the fruit - orange peel and lemon. Grassy and floral flavours followed by marzipan.
Palate: Beautiful texture, creamy and round, with sweet citrus fruit and black pepper.
Finish: Good length. There’s vanilla custard and a lift of aromatic freshness that will make you want another sip.","Nose: The first thing you notice are spicy cereal notes, malt and porridge, then comes the fruit - orange peel and lemon. Grassy and floral flavours followed by marzipan.
Palate: Beautiful texture, creamy and round, with sweet citrus fruit and black pepper.
Finish: Good length. There’s vanilla custard and a lift of aromatic freshness that will make you want another sip."
FEW 6 Year Old (That Boutique-y Whisky Company),FEW Spirits,American Whiskey,That Boutique-y Whisky Company,American Whiskey,,,"(50cl, 63.6%)",89.95,0,"Juicy forest fruits and dark chocolate bring dense, jammy sweetness, bolstered by leathery oak and rye spice.","Stewed berries, cherries, cacao, and cracked black peppercorns.","Generous layers of roasted coffee beans and toasted rye bread drizzled with honey. There's a touch of menthol nestled beneath, with woody spice and chalky grist."
Mac-Talla Terra,Mac-Talla,Islay Whisky,Mac-Talla,Scotch Whisky,5,(7 Reviews),"(70cl, 46%)",45.94,0,"Black pepper earthiness, with wave after wave of peat smoke, softly balanced by hints of sweet vanilla.",Oaky cinders remain on the finish.,"Warm hay, dusty furniture, turf, pear, just a smidge of sea breeze."
Glenmorangie A Tale of the Forest,Glenmorangie,Highland Whisky,Glenmorangie,Scotch Whisky,4.5,(3 Reviews),"(70cl, 46%)",74.94,0,"An array of zesty menthol and orange peels, hints of hibiscus, and vanilla pod with a backdrop of fennel, anise, and smoked toffee.","Candied citrus fruits finish things off, with more pine and robust barley tangling with delicate oak char.","Forest floor notes lead the way with oily pine and juniper, nutty malt, and woody spice, with murmurs of smoke in the distance."
The Glenlivet 12 Year Old Licensed Dram - The Original Stories,The Glenlivet,Scotch Whisky,The Glenlivert,Scotch Whisky,5,(2 Reviews),"(70cl, 48%)",49.95,0,"Nose: Fresh apricot and summer fruits with a drizzle of honey and delicate dustings of spice.
Palate: The honeyed sweetness continues on the palate, joined by buttery oak and creamy vanilla. Nutty malt rests comfortably at the core.
Finish: Warming cinnamon, a touch of root ginger, and anise arrive, though rich caramel remains.","Nose: Fresh apricot and summer fruits with a drizzle of honey and delicate dustings of spice.
Palate: The honeyed sweetness continues on the palate, joined by buttery oak and creamy vanilla. Nutty malt rests comfortably at the core.
Finish: Warming cinnamon, a touch of root ginger, and anise arrive, though rich caramel remains.","Nose: Fresh apricot and summer fruits with a drizzle of honey and delicate dustings of spice.
Palate: The honeyed sweetness continues on the palate, joined by buttery oak and creamy vanilla. Nutty malt rests comfortably at the core.
Finish: Warming cinnamon, a touch of root ginger, and anise arrive, though rich caramel remains."
